user id: 000012,start time: 1659816848133,application version: 0.1
timestamp,is eye tracking valid and enabled,eye gaze origin,eye gaze direction,eye gaze hit position,eye gaze target name,left hand index position,left hand palm position,right hand index position,right hand palm position,head gaze origin,head gaze direction,head gaze hit position,head gaze target name,3d model position,button 1 position,button 2 position,button 3 position
"1659816848152","False","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","null","null","null","null","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848165","False","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","null","null","null","null","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848197","False","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","null","null","null","null","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848232","False","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","null","null","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848277","False","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","null","null","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848302","False","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","null","null","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848337","False","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","null","null","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848372","False","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","null","null","null","null","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848402","False","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","null","null","null","null","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848442","False","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","null","null","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848484","False","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","null","null","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848502","False","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","null","null","null","null","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848533","False","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","null","null","null","null","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848565","False","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","null","null","null","null","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848597","False","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","null","null","null","null","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848632","False","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","null","null","null","null","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848677","False","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","null","null","null","null","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848702","False","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","null","null","null","null","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848737","False","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","null","null","null","null","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848773","False","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","null","null","null","null","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848806","False","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","null","null","null","null","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848834","False","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","null","null","null","null","(0.0, 0.0, -0.1)","(0.1, 0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848872","False","(0.0, 0.0, -0.1)","(0.1, 0.1, 1.0)","(0.0, 0.0, 0.0)","Quad","null","null","null","null","(0.0, 0.0, -0.1)","(0.1, 0.1, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848902","False","(0.0, 0.0, -0.1)","(0.1, 0.1, 1.0)","(0.0, 0.0, 0.0)","Quad","null","null","null","null","(0.0, 0.0, -0.1)","(0.1, 0.1, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848933","False","(0.0, 0.0, -0.1)","(0.1, 0.1, 1.0)","(0.0, 0.0, 0.0)","Quad","null","null","null","null","(0.0, 0.0, -0.1)","(0.1, 0.1, 1.0)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659816848972","False","(0.0, 0.0, -0.1)","(0.1, 0.1, 1.0)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, -0.1)","(0.1, 0.1, 1.0)","(0.0, 0.0, 0.1)","Quad","","","",""
"1659816849002","False","(0.0, 0.0, 0.0)","(0.1, 0.1, 1.0)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.1, 0.1, 1.0)","(0.0, 0.0, 0.1)","Quad","","","",""
"1659816849032","False","(0.0, 0.0, 0.0)","(0.1, 0.0, 1.0)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.1, 0.0, 1.0)","(0.0, 0.0, 0.1)","Quad","","","",""
"1659816849093","False","(0.0, 0.0, 0.0)","(0.1, 0.0, 1.0)","(0.0, 0.0, 0.1)","Quad","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","null","null","(0.0, 0.0, 0.0)","(0.1, 0.0, 1.0)","(0.0, 0.0, 0.1)","Quad","","","",""
"1659816849112","False","(0.0, 0.0, 0.0)","(0.1, 0.0, 1.0)","(0.0, 0.0, 0.1)","Quad","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","null","null","(0.0, 0.0, 0.0)","(0.1, 0.0, 1.0)","(0.0, 0.0, 0.1)","Quad","","","",""
"1659816849137","False","(0.0, 0.0, 0.0)","(0.1, 0.0, 1.0)","(0.0, 0.0, 0.1)","Quad","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","null","null","(0.0, 0.0, 0.0)","(0.1, 0.0, 1.0)","(0.0, 0.0, 0.1)","Quad","","","",""
"1659816849174","False","(0.0, 0.0, 0.0)","(0.1, 0.0, 1.0)","(0.0, 0.0, 0.1)","Quad","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","null","null","(0.0, 0.0, 0.0)","(0.1, 0.0, 1.0)","(0.0, 0.0, 0.1)","Quad","","","",""
"1659816849204","False","(0.0, 0.0, 0.0)","(0.1, -0.1, 1.0)","(0.0, 0.0, 0.1)","Quad","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","null","null","(0.0, 0.0, 0.0)","(0.1, -0.1, 1.0)","(0.0, 0.0, 0.1)","Quad","","","",""
