user id: 000005,start time: 1658595524668,application version: 0.1
timestamp,is eye tracking valid and enabled,eye gaze origin,eye gaze direction,eye gaze hit position,eye gaze target name,left hand index position,left hand palm position,right hand index position,right hand palm position,head gaze origin,head gaze direction,head gaze hit position,head gaze target name,3d model position,button 1 position,button 2 position,button 3 position
"1658595524691","False","(0.0, 0.1, 0.0)","(-0.1, -0.2, 1.0)","(0.0, -0.1, 0.5)","User Id Input","null","null","(0.1, -0.1, 0.4)","(0.1, -0.2, 0.3)","(0.0, 0.1, 0.0)","(-0.1, -0.2, 1.0)","(0.0, -0.1, 0.5)","User Id Input","","","",""
"1658595524711","False","(0.0, 0.1, 0.0)","(-0.1, -0.2, 1.0)","(0.0, 0.0, 0.1)","Quad","null","null","(0.1, -0.1, 0.4)","(0.1, -0.2, 0.3)","(0.0, 0.1, 0.0)","(-0.1, -0.2, 1.0)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595524736","False","(0.0, 0.1, 0.0)","(-0.1, -0.2, 1.0)","(0.0, 0.0, 0.1)","Quad","null","null","(0.1, -0.1, 0.3)","(0.1, -0.2, 0.3)","(0.0, 0.1, 0.0)","(-0.1, -0.2, 1.0)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595524786","False","(0.0, 0.1, 0.0)","(-0.1, -0.2, 1.0)","(0.0, 0.0, 0.1)","Quad","null","null","(0.1, -0.1, 0.3)","(0.1, -0.2, 0.3)","(0.0, 0.1, 0.0)","(-0.1, -0.2, 1.0)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595524806","False","(0.0, 0.0, 0.0)","(-0.1, -0.2, 1.0)","(0.0, 0.0, 0.1)","Quad","null","null","(0.1, -0.1, 0.3)","(0.2, -0.1, 0.2)","(0.0, 0.0, 0.0)","(-0.1, -0.2, 1.0)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595524839","False","(0.0, 0.0, 0.0)","(-0.1, -0.2, 1.0)","(0.0, 0.0, 0.1)","Quad","null","null","(0.1, 0.0, 0.3)","(0.2, -0.1, 0.2)","(0.0, 0.0, 0.0)","(-0.1, -0.2, 1.0)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595524871","False","(0.0, 0.0, 0.0)","(-0.1, -0.2, 1.0)","(0.0, 0.0, 0.1)","Quad","null","null","(0.1, 0.0, 0.2)","(0.2, -0.1, 0.2)","(0.0, 0.0, 0.0)","(-0.1, -0.2, 1.0)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595524908","False","(0.0, 0.0, 0.0)","(-0.2, -0.3, 1.0)","(0.0, 0.0, 0.1)","Quad","null","null","(0.2, 0.0, 0.2)","(0.2, -0.1, 0.2)","(0.0, 0.0, 0.0)","(-0.2, -0.3, 1.0)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595524936","False","(0.0, 0.0, 0.0)","(-0.2, -0.3, 1.0)","(0.0, 0.0, 0.1)","Quad","null","null","(0.2, 0.0, 0.2)","(0.2, -0.1, 0.2)","(0.0, 0.0, 0.0)","(-0.2, -0.3, 1.0)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595524986","False","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","(0.2, 0.0, 0.2)","(0.2, -0.1, 0.2)","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595525006","False","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","(0.2, 0.0, 0.1)","(0.2, -0.1, 0.1)","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595525036","False","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","(0.2, 0.0, 0.1)","(0.2, -0.1, 0.1)","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595525066","False","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595525096","False","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595525127","False","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595525178","False","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595525196","False","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595525236","False","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595525271","False","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595525303","False","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595525336","False","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595525383","False","(0.0, 0.0, 0.0)","(-0.2, -0.2, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.2, -0.2, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595525399","False","(0.0, 0.0, 0.0)","(-0.2, -0.2, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.2, -0.2, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595525436","False","(0.0, 0.0, 0.0)","(-0.2, -0.2, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.2, -0.2, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595525466","False","(0.0, 0.0, 0.0)","(-0.2, -0.2, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.2, -0.2, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595525496","False","(0.0, 0.0, 0.0)","(-0.2, -0.2, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.2, -0.2, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595525526","False","(0.0, 0.0, 0.0)","(-0.2, -0.2, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.2, -0.2, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595525577","False","(0.0, 0.0, 0.0)","(-0.2, -0.2, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.2, -0.2, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1658595525603","False","(0.0, 0.0, 0.0)","(-0.2, -0.2, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.2, -0.2, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
