user id: 000007,start time: 1658682636313,application version: 0.1
timestamp,is eye tracking valid and enabled,eye gaze origin,eye gaze direction,eye gaze hit position,eye gaze target name,left hand index position,left hand palm position,right hand index position,right hand palm position,head gaze origin,head gaze direction,head gaze hit position,head gaze target name,3d model position,button 1 position,button 2 position,button 3 position
"1658682636340","False","(-0.1, 0.0, -0.1)","(-0.5, -0.3, 0.8)","(-0.1, 0.0, 0.0)","Quad","null","null","(-0.2, -0.2, 0.2)","(-0.1, -0.2, 0.2)","(-0.1, 0.0, -0.1)","(-0.5, -0.3, 0.8)","(-0.1, 0.0, 0.0)","Quad","","","",""
"1658682636369","False","(-0.1, 0.0, -0.1)","(-0.5, -0.3, 0.8)","(-0.2, 0.0, 0.0)","Quad","null","null","(-0.2, -0.2, 0.2)","(-0.1, -0.2, 0.2)","(-0.1, 0.0, -0.1)","(-0.5, -0.3, 0.8)","(-0.2, 0.0, 0.0)","Quad","","","",""
"1658682636379","False","(-0.1, 0.0, -0.1)","(-0.5, -0.3, 0.8)","(-0.2, 0.0, 0.0)","Quad","null","null","(-0.2, -0.2, 0.2)","(-0.1, -0.2, 0.2)","(-0.1, 0.0, -0.1)","(-0.5, -0.3, 0.8)","(-0.2, 0.0, 0.0)","Quad","","","",""
"1658682636409","False","(-0.1, 0.0, -0.1)","(-0.5, -0.3, 0.8)","(-0.2, 0.0, 0.0)","Quad","null","null","(-0.2, -0.2, 0.2)","(-0.1, -0.2, 0.2)","(-0.1, 0.0, -0.1)","(-0.5, -0.3, 0.8)","(-0.2, 0.0, 0.0)","Quad","","","",""
"1658682636442","False","(-0.1, 0.0, -0.1)","(-0.5, -0.3, 0.8)","(-0.1, 0.0, 0.0)","Quad","null","null","(-0.2, -0.2, 0.2)","(-0.1, -0.2, 0.2)","(-0.1, 0.0, -0.1)","(-0.5, -0.3, 0.8)","(-0.1, 0.0, 0.0)","Quad","","","",""
"1658682636479","False","(-0.1, 0.0, -0.1)","(-0.5, -0.3, 0.8)","(-0.1, 0.0, 0.0)","Quad","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(-0.2, -0.2, 0.2)","(-0.1, -0.2, 0.2)","(-0.1, 0.0, -0.1)","(-0.5, -0.3, 0.8)","(-0.1, 0.0, 0.0)","Quad","","","",""
"1658682636509","False","(-0.1, 0.0, -0.1)","(-0.5, -0.3, 0.8)","(-0.1, 0.0, 0.0)","Quad","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(-0.2, -0.2, 0.2)","(-0.1, -0.2, 0.2)","(-0.1, 0.0, -0.1)","(-0.5, -0.3, 0.8)","(-0.1, 0.0, 0.0)","Quad","","","",""
"1658682636571","False","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.8)","(-0.1, 0.0, 0.0)","Quad","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(-0.2, -0.2, 0.2)","(-0.1, -0.2, 0.2)","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.8)","(-0.1, 0.0, 0.0)","Quad","","","",""
"1658682636599","False","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.8)","(-0.1, 0.0, 0.0)","Quad","null","null","(-0.2, -0.2, 0.2)","(-0.1, -0.2, 0.2)","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.8)","(-0.1, 0.0, 0.0)","Quad","","","",""
"1658682636639","False","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.7)","(-0.1, 0.0, 0.0)","Quad","null","null","(-0.2, -0.2, 0.2)","(-0.1, -0.2, 0.2)","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.7)","(-0.1, 0.0, 0.0)","Quad","","","",""
"1658682636666","False","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.7)","(-0.1, 0.0, 0.0)","Quad","null","null","(-0.2, -0.2, 0.2)","(-0.1, -0.2, 0.2)","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.7)","(-0.1, 0.0, 0.0)","Quad","","","",""
"1658682636681","False","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.7)","(-0.1, 0.0, 0.0)","Quad","null","null","(-0.2, -0.2, 0.2)","(-0.1, -0.2, 0.2)","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.7)","(-0.1, 0.0, 0.0)","Quad","","","",""
"1658682636710","False","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.7)","(-0.1, 0.0, 0.0)","Quad","null","null","(-0.2, -0.2, 0.2)","(-0.1, -0.2, 0.2)","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.7)","(-0.1, 0.0, 0.0)","Quad","","","",""
"1658682636746","False","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.7)","(-0.1, 0.0, 0.0)","Quad","null","null","(-0.2, -0.2, 0.2)","(-0.1, -0.2, 0.2)","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.7)","(-0.1, 0.0, 0.0)","Quad","","","",""
"1658682636774","False","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.7)","(-0.1, 0.0, 0.0)","Quad","null","null","(-0.2, -0.2, 0.2)","(-0.1, -0.2, 0.2)","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.7)","(-0.1, 0.0, 0.0)","Quad","","","",""
"1658682636806","False","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.7)","(-0.1, 0.0, 0.0)","Quad","null","null","(-0.2, -0.2, 0.2)","(-0.1, -0.2, 0.2)","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.7)","(-0.1, 0.0, 0.0)","Quad","","","",""
"1658682636841","False","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.8)","(-0.1, 0.0, 0.0)","Quad","null","null","(-0.2, -0.2, 0.2)","(-0.1, -0.2, 0.2)","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.8)","(-0.1, 0.0, 0.0)","Quad","","","",""
"1658682636874","False","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.8)","(-0.1, 0.0, 0.0)","Quad","null","null","(-0.2, -0.2, 0.2)","(-0.1, -0.2, 0.2)","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.8)","(-0.1, 0.0, 0.0)","Quad","","","",""
"1658682636909","False","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.8)","(-0.1, 0.0, 0.0)","Quad","null","null","(-0.2, -0.2, 0.2)","(-0.1, -0.2, 0.2)","(-0.1, 0.0, -0.1)","(-0.5, -0.4, 0.8)","(-0.1, 0.0, 0.0)","Quad","","","",""
