user id: 00008b,start time: 1659797010558
timestamp,event message,last loaded scene,is eye tracking valid and enabled,eye gaze origin,eye gaze direction,eye gaze hit position,eye gaze target name,left hand index position,left hand palm position,right hand index position,right hand palm position,head gaze origin,head gaze direction,head gaze hit position,head gaze target name,3d model position,button 1 position,button 2 position,button 3 position,event
"1659797123542","Instructions finished.","04-Task2Scene","False","(-1.89, -0.11, 0.42)","(-0.66, 0.48, 0.57)","(-2.54, 0.35, 0.98)","Header Text","null","null","null","null","(-1.89, -0.11, 0.42)","(-0.66, 0.48, 0.57)","(-2.54, 0.35, 0.98)","Header Text","","","","","instructions_finished"
"1659797124582","Start instructions finished.","04-Task2Scene","False","(-1.89, -0.11, 0.39)","(-0.83, 0.55, -0.11)","(-1.98, -0.06, 0.38)","Quad","null","null","null","null","(-1.89, -0.11, 0.39)","(-0.83, 0.55, -0.11)","(-1.98, -0.06, 0.38)","Quad","","","","",""
"1659797160521","Button 2 pressed, playing animation 2.","04-Task2Scene","False","(-1.85, -0.16, -0.11)","(0.66, 0.27, 0.71)","(0.00, 0.00, 0.00)","","null","null","(-1.30, -0.19, 0.27)","(-1.35, -0.24, 0.17)","(-1.85, -0.16, -0.11)","(0.66, 0.27, 0.71)","(0.00, 0.00, 0.00)","","(0.23, 0.29, 1.95)","(-1.52, -0.15, 0.37)","(-1.38, -0.15, 0.23)","","button2_pressed"
"1659797167554","Animation finished.","04-Task2Scene","False","(-1.97, -0.33, -0.03)","(0.63, -0.78, 0.01)","(0.00, 0.00, 0.00)","","null","null","(-1.97, -0.72, -0.19)","(-2.03, -0.73, -0.25)","(-1.97, -0.33, -0.03)","(0.63, -0.78, 0.01)","(0.00, 0.00, 0.00)","","(-1.21, -2.18, -0.09)","","","","animation_finished"
"1659797168582","Instantiating middle instructions.","04-Task2Scene","False","(-1.66, -0.56, 0.01)","(0.46, -0.88, -0.07)","(-1.62, -0.65, 0.00)","Quad","null","null","null","null","(-1.66, -0.56, 0.01)","(0.46, -0.88, -0.07)","(-1.62, -0.65, 0.00)","Quad","(-1.14, -2.23, -0.07)","","","",""
"1659797168582","Instantiating instructions.","04-Task2Scene","False","(-1.66, -0.56, 0.01)","(0.46, -0.88, -0.07)","(-1.62, -0.65, 0.00)","Quad","null","null","null","null","(-1.66, -0.56, 0.01)","(0.46, -0.88, -0.07)","(-1.62, -0.65, 0.00)","Quad","(-1.14, -2.23, -0.07)","","","","showing_instructions"
"1659797176154","Instructions finished.","04-Task2Scene","False","(-1.84, -0.19, -0.05)","(0.68, 0.01, 0.73)","(-1.03, -0.18, 0.81)","Header Text","null","null","null","null","(-1.84, -0.19, -0.05)","(0.68, 0.01, 0.73)","(-1.03, -0.18, 0.81)","Header Text","","","","","instructions_finished"
"1659797177160","Middle instructions finished, starting the timer.","04-Task2Scene","False","(-1.99, -0.22, -0.03)","(0.91, -0.28, 0.31)","(-1.91, -0.24, 0.00)","Quad","(0.00, 0.00, 0.00)","(0.00, 0.00, 0.00)","null","null","(-1.99, -0.22, -0.03)","(0.91, -0.28, 0.31)","(-1.91, -0.24, 0.00)","Quad","","","","",""
"1659797177160","Openning the timer.","04-Task2Scene","False","(-1.99, -0.22, -0.03)","(0.91, -0.28, 0.31)","(-1.91, -0.24, 0.00)","Quad","(0.00, 0.00, 0.00)","(0.00, 0.00, 0.00)","null","null","(-1.99, -0.22, -0.03)","(0.91, -0.28, 0.31)","(-1.91, -0.24, 0.00)","Quad","","","","","openning_timer"
"1659797187190","User failed to press the button on time, instantaiting failed instructions.","04-Task2Scene","False","(-2.12, -0.14, 0.05)","(0.60, 0.44, 0.67)","(0.00, 0.00, 0.00)","","null","null","(-1.84, 0.03, 0.31)","(-1.83, -0.04, 0.22)","(-2.12, -0.14, 0.05)","(0.60, 0.44, 0.67)","(0.00, 0.00, 0.00)","","(-0.22, 0.90, 2.09)","(-1.80, 0.00, 0.52)","(-1.66, 0.00, 0.39)","","user_failed"
