user id: Y33407,start time: 1659740755090
timestamp,event message,last loaded scene,is eye tracking valid and enabled,eye gaze origin,eye gaze direction,eye gaze hit position,eye gaze target name,left hand index position,left hand palm position,right hand index position,right hand palm position,head gaze origin,head gaze direction,head gaze hit position,head gaze target name,3d model position,button 1 position,button 2 position,button 3 position,event
"1659740924025","Instructions finished.","04-Task2Scene","False","(-3.5, 0.1, -2.8)","(0.9, 0.4, 0.1)","(-2.6, 0.5, -2.7)","Header Text","null","null","null","null","(-3.5, 0.1, -2.8)","(0.9, 0.4, 0.1)","(-2.6, 0.5, -2.7)","Header Text","","","","","instructions_finished"
"1659740925055","Start instructions finished.","04-Task2Scene","False","(-3.5, 0.1, -2.8)","(0.9, 0.4, 0.1)","(-3.4, 0.2, -2.8)","Quad","null","null","null","null","(-3.5, 0.1, -2.8)","(0.9, 0.4, 0.1)","(-3.4, 0.2, -2.8)","Quad","","","","",""
"1659740929252","Button 1 pressed, playing animation 1.","04-Task2Scene","False","(-3.5, 0.1, -2.9)","(0.9, 0.4, -0.1)","(0.0, 0.0, 0.0)","","(-2.9, 0.3, -2.7)","(-3.0, 0.2, -2.7)","null","null","(-3.5, 0.1, -2.9)","(0.9, 0.4, -0.1)","(0.0, 0.0, 0.0)","","(-0.8, 1.3, -2.9)","(-2.9, 0.3, -2.8)","(-3.0, 0.3, -3.0)","","button1_pressed"
"1659740936289","Animation finished.","04-Task2Scene","False","(-3.5, 0.1, -2.8)","(1.0, 0.3, 0.1)","(0.0, 0.0, 0.0)","","null","null","null","null","(-3.5, 0.1, -2.8)","(1.0, 0.3, 0.1)","(0.0, 0.0, 0.0)","","(-1.5, 0.3, -2.8)","","","","animation_finished"
"1659740937293","Instantiating middle instructions.","04-Task2Scene","False","(-3.5, 0.1, -2.8)","(1.0, 0.2, 0.3)","(-3.4, 0.1, -2.8)","Quad","null","null","null","null","(-3.5, 0.1, -2.8)","(1.0, 0.2, 0.3)","(-3.4, 0.1, -2.8)","Quad","(-1.5, 0.0, -2.3)","","","",""
"1659740937293","Instantiating instructions.","04-Task2Scene","False","(-3.5, 0.1, -2.8)","(1.0, 0.2, 0.3)","(-3.4, 0.1, -2.8)","Quad","null","null","null","null","(-3.5, 0.1, -2.8)","(1.0, 0.2, 0.3)","(-3.4, 0.1, -2.8)","Quad","(-1.5, 0.0, -2.3)","","","","showing_instructions"
"1659740944822","Instructions finished.","04-Task2Scene","False","(-3.5, 0.1, -2.8)","(0.9, 0.2, 0.3)","(-2.6, 0.3, -2.5)","Header Text","null","null","null","null","(-3.5, 0.1, -2.8)","(0.9, 0.2, 0.3)","(-2.6, 0.3, -2.5)","Header Text","","","","","instructions_finished"
"1659740945822","Middle instructions finished, starting the timer.","04-Task2Scene","False","(-3.5, 0.1, -2.8)","(0.9, 0.2, 0.4)","(-3.4, 0.1, -2.7)","Quad","null","null","null","null","(-3.5, 0.1, -2.8)","(0.9, 0.2, 0.4)","(-3.4, 0.1, -2.7)","Quad","","","","",""
"1659740945822","Openning the timer.","04-Task2Scene","False","(-3.5, 0.1, -2.8)","(0.9, 0.2, 0.4)","(-3.4, 0.1, -2.7)","Quad","null","null","null","null","(-3.5, 0.1, -2.8)","(0.9, 0.2, 0.4)","(-3.4, 0.1, -2.7)","Quad","","","","","openning_timer"
"1659740955822","User failed to press the button on time, instantaiting failed instructions.","04-Task2Scene","False","(-3.5, 0.1, -2.8)","(0.9, 0.3, 0.2)","(0.0, 0.0, 0.0)","","(-3.0, 0.1, -2.6)","(-3.1, 0.2, -2.6)","null","null","(-3.5, 0.1, -2.8)","(0.9, 0.3, 0.2)","(0.0, 0.0, 0.0)","","(-0.7, 1.0, -2.1)","(-3.0, 0.2, -2.6)","(-2.9, 0.2, -2.8)","","user_failed"
"1659740955834","Closing the timer.","04-Task2Scene","False","(-3.5, 0.1, -2.8)","(0.9, 0.3, 0.2)","(0.0, 0.0, 0.0)","","(-3.0, 0.1, -2.6)","(-3.1, 0.2, -2.6)","null","null","(-3.5, 0.1, -2.8)","(0.9, 0.3, 0.2)","(0.0, 0.0, 0.0)","","(-0.7, 1.0, -2.1)","(-3.0, 0.2, -2.6)","(-2.9, 0.2, -2.8)","","closing_timer"
"1659740956852","Instantiating instructions.","04-Task2Scene","False","(-3.5, 0.1, -2.8)","(0.9, 0.4, 0.2)","(-3.4, 0.2, -2.8)","Quad","null","null","null","null","(-3.5, 0.1, -2.8)","(0.9, 0.4, 0.2)","(-3.4, 0.2, -2.8)","Quad","(-0.7, 1.1, -2.2)","","","","showing_instructions"
"1659740964989","Instructions finished.","04-Task2Scene","False","(-3.5, 0.1, -2.9)","(1.0, 0.1, 0.1)","(-2.6, 0.2, -2.8)","Header Text","null","null","null","null","(-3.5, 0.1, -2.9)","(1.0, 0.1, 0.1)","(-2.6, 0.2, -2.8)","Header Text","","","","","instructions_finished"
"1659740965982","Reseting both buttons.","04-Task2Scene","False","(-3.5, 0.1, -2.9)","(1.0, 0.1, 0.1)","(-3.4, 0.1, -2.9)","Quad","null","null","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(-3.5, 0.1, -2.9)","(1.0, 0.1, 0.1)","(-3.4, 0.1, -2.9)","Quad","","","","",""
"1659740979661","Button 1 pressed, playing animation 1.","04-Task2Scene","False","(-3.5, 0.1, -2.8)","(1.0, 0.1, 0.3)","(0.0, 0.0, 0.0)","","(-3.0, 0.2, -2.5)","(-3.1, 0.1, -2.5)","null","null","(-3.5, 0.1, -2.8)","(1.0, 0.1, 0.3)","(0.0, 0.0, 0.0)","","(-0.7, 0.5, -1.9)","(-3.0, 0.1, -2.5)","(-2.9, 0.1, -2.7)","","button1_pressed"
"1659740986660","Animation finished.","04-Task2Scene","False","(-3.5, 0.1, -2.8)","(1.0, 0.2, 0.3)","(0.0, 0.0, 0.0)","","null","null","null","null","(-3.5, 0.1, -2.8)","(1.0, 0.2, 0.3)","(0.0, 0.0, 0.0)","","(-1.5, -0.1, -2.3)","","","","animation_finished"
"1659740987660","Instantiating middle instructions.","04-Task2Scene","False","(-3.5, 0.1, -2.8)","(0.9, 0.2, 0.3)","(-3.4, 0.1, -2.8)","Quad","(-3.2, 0.0, -2.7)","(-3.2, -0.1, -2.7)","null","null","(-3.5, 0.1, -2.8)","(0.9, 0.2, 0.3)","(-3.4, 0.1, -2.8)","Quad","(-1.5, -0.1, -2.3)","","","",""
"1659740987660","Instantiating instructions.","04-Task2Scene","False","(-3.5, 0.1, -2.8)","(0.9, 0.2, 0.3)","(-3.4, 0.1, -2.8)","Quad","(-3.2, 0.0, -2.7)","(-3.2, -0.1, -2.7)","null","null","(-3.5, 0.1, -2.8)","(0.9, 0.2, 0.3)","(-3.4, 0.1, -2.8)","Quad","(-1.5, -0.1, -2.3)","","","","showing_instructions"
"1659740995294","Instructions finished.","04-Task2Scene","False","(-3.5, 0.1, -2.8)","(1.0, 0.2, 0.2)","(-2.6, 0.3, -2.6)","Header Text","null","null","null","null","(-3.5, 0.1, -2.8)","(1.0, 0.2, 0.2)","(-2.6, 0.3, -2.6)","Header Text","","","","","instructions_finished"
"1659740996293","Middle instructions finished, starting the timer.","04-Task2Scene","False","(-3.5, 0.1, -2.8)","(1.0, 0.1, 0.2)","(-3.4, 0.1, -2.8)","Quad","null","null","null","null","(-3.5, 0.1, -2.8)","(1.0, 0.1, 0.2)","(-3.4, 0.1, -2.8)","Quad","","","","",""
"1659740996300","Openning the timer.","04-Task2Scene","False","(-3.5, 0.1, -2.8)","(1.0, 0.1, 0.2)","(-3.4, 0.1, -2.8)","Quad","null","null","null","null","(-3.5, 0.1, -2.8)","(1.0, 0.1, 0.2)","(-3.4, 0.1, -2.8)","Quad","","","","","openning_timer"
"1659741002526","Button 2 pressed, playing animation 2.","04-Task2Scene","False","(-3.5, 0.1, -2.8)","(1.0, 0.2, 0.1)","(0.0, 0.0, 0.0)","","(-2.9, 0.0, -2.8)","(-3.0, 0.0, -2.8)","null","null","(-3.5, 0.1, -2.8)","(1.0, 0.2, 0.1)","(0.0, 0.0, 0.0)","","(-0.6, 0.4, -2.3)","(-2.9, 0.1, -2.6)","(-2.9, 0.1, -2.8)","","button2_pressed"
"1659741009586","Animation finished.","04-Task2Scene","False","(-3.5, 0.1, -2.8)","(1.0, 0.2, 0.2)","(0.0, 0.0, 0.0)","","null","null","null","null","(-3.5, 0.1, -2.8)","(1.0, 0.2, 0.2)","(0.0, 0.0, 0.0)","","(-1.5, -0.1, -2.5)","","","","animation_finished"
"1659741009586","Task 2 finished, loading task 3.","04-Task2Scene","False","(-3.5, 0.1, -2.8)","(1.0, 0.2, 0.2)","(0.0, 0.0, 0.0)","","null","null","null","null","(-3.5, 0.1, -2.8)","(1.0, 0.2, 0.2)","(0.0, 0.0, 0.0)","","(-1.5, -0.1, -2.5)","","","","task2_finished"
"1659741010853","Task 3 started, instatiating start instructions.","04-Task2Scene","False","(-3.5, 0.1, -2.8)","(1.0, 0.2, 0.2)","(-3.4, 0.1, -2.8)","Quad","null","null","null","null","(-3.5, 0.1, -2.8)","(1.0, 0.2, 0.2)","(-3.4, 0.1, -2.8)","Quad","(-1.5, -0.1, -2.5)","","","","task3_started"
"1659741010863","Instantiating instructions.","04-Task2Scene","False","(-3.5, 0.1, -2.8)","(1.0, 0.2, 0.2)","(-3.4, 0.1, -2.8)","Quad","null","null","null","null","(-3.5, 0.1, -2.8)","(1.0, 0.2, 0.2)","(-3.4, 0.1, -2.8)","Quad","(-1.5, -0.1, -2.5)","","","","showing_instructions"
"1659741020721","Instructions finished.","05-Task3Scene","False","(-3.6, 0.1, -2.5)","(0.9, 0.5, 0.1)","(0.0, 0.0, 0.0)","","null","null","null","null","(-3.6, 0.1, -2.5)","(0.9, 0.5, 0.1)","(0.0, 0.0, 0.0)","","","","","","instructions_finished"
"1659741021763","Start instructions finished.","05-Task3Scene","False","(-3.7, 0.1, -2.4)","(0.7, 0.7, 0.3)","(-3.6, 0.2, -2.4)","Quad","null","null","null","null","(-3.7, 0.1, -2.4)","(0.7, 0.7, 0.3)","(-3.6, 0.2, -2.4)","Quad","","","","",""
"1659741040719","Button 1 pressed, playing animation 1.","05-Task3Scene","False","(-3.6, 0.1, -2.7)","(1.0, 0.1, 0.2)","(0.0, 0.0, 0.0)","","(-3.0, 0.1, -2.4)","(-3.1, 0.0, -2.4)","null","null","(-3.6, 0.1, -2.7)","(1.0, 0.1, 0.2)","(0.0, 0.0, 0.0)","","(-0.7, 0.4, -1.9)","(-3.0, 0.1, -2.4)","(-3.0, 0.1, -2.5)","(-3.0, 0.1, -2.7)","button1_pressed"
"1659741047804","Animation finished.","05-Task3Scene","False","(-3.6, 0.1, -2.5)","(1.0, 0.2, 0.2)","(0.0, 0.0, 0.0)","","null","null","null","null","(-3.6, 0.1, -2.5)","(1.0, 0.2, 0.2)","(0.0, 0.0, 0.0)","","(-1.6, 0.0, -2.2)","","","","animation_finished"
"1659741048784","Instantiating middle instructions.","05-Task3Scene","False","(-3.3, 0.2, -2.4)","(1.0, 0.1, 0.1)","(-3.2, 0.2, -2.4)","Quad","null","null","null","null","(-3.3, 0.2, -2.4)","(1.0, 0.1, 0.1)","(-3.2, 0.2, -2.4)","Quad","(-1.4, -0.2, -2.2)","","","",""
"1659741048784","Instantiating instructions.","05-Task3Scene","False","(-3.3, 0.2, -2.4)","(1.0, 0.1, 0.1)","(-3.2, 0.2, -2.4)","Quad","null","null","null","null","(-3.3, 0.2, -2.4)","(1.0, 0.1, 0.1)","(-3.2, 0.2, -2.4)","Quad","(-1.4, -0.2, -2.2)","","","","showing_instructions"
"1659741057024","Instructions finished.","05-Task3Scene","False","(-3.7, 0.1, -2.6)","(1.0, 0.1, -0.2)","(-2.7, 0.2, -2.7)","Header Text","null","null","null","null","(-3.7, 0.1, -2.6)","(1.0, 0.1, -0.2)","(-2.7, 0.2, -2.7)","Header Text","","","","","instructions_finished"
"1659741058054","Middle instructions finished, starting the timer.","05-Task3Scene","False","(-3.7, 0.1, -2.6)","(0.8, 0.2, -0.5)","(-3.6, 0.1, -2.6)","Quad","null","null","null","null","(-3.7, 0.1, -2.6)","(0.8, 0.2, -0.5)","(-3.6, 0.1, -2.6)","Quad","","","","",""
"1659741058054","Openning the timer.","05-Task3Scene","False","(-3.7, 0.1, -2.6)","(0.8, 0.2, -0.5)","(-3.6, 0.1, -2.6)","Quad","null","null","null","null","(-3.7, 0.1, -2.6)","(0.8, 0.2, -0.5)","(-3.6, 0.1, -2.6)","Quad","","","","","openning_timer"
"1659741068062","User failed to press the button on time, instantaiting failed instructions.","05-Task3Scene","False","(-3.6, 0.1, -2.5)","(1.0, -0.3, 0.2)","(0.0, 0.0, 0.0)","","(-3.2, -0.1, -2.5)","(-3.2, -0.1, -2.4)","null","null","(-3.6, 0.1, -2.5)","(1.0, -0.3, 0.2)","(0.0, 0.0, 0.0)","","(-0.8, -0.8, -2.2)","(-3.1, -0.2, -2.4)","(-3.1, -0.2, -2.5)","(-3.1, -0.2, -2.6)","user_failed"
"1659741068062","Closing the timer.","05-Task3Scene","False","(-3.6, 0.1, -2.5)","(1.0, -0.3, 0.2)","(0.0, 0.0, 0.0)","","(-3.2, -0.1, -2.5)","(-3.2, -0.1, -2.4)","null","null","(-3.6, 0.1, -2.5)","(1.0, -0.3, 0.2)","(0.0, 0.0, 0.0)","","(-0.8, -0.8, -2.2)","(-3.1, -0.2, -2.4)","(-3.1, -0.2, -2.5)","(-3.1, -0.2, -2.6)","closing_timer"
"1659741069095","Instantiating instructions.","05-Task3Scene","False","(-3.6, 0.1, -2.5)","(1.0, -0.1, 0.1)","(-3.5, 0.1, -2.5)","Quad","null","null","null","null","(-3.6, 0.1, -2.5)","(1.0, -0.1, 0.1)","(-3.5, 0.1, -2.5)","Quad","(-0.8, -0.7, -2.2)","","","","showing_instructions"
"1659741077291","Instructions finished.","05-Task3Scene","False","(-3.5, 0.0, -2.4)","(0.3, -0.9, 0.1)","(0.0, 0.0, 0.0)","","null","null","null","null","(-3.5, 0.0, -2.4)","(0.3, -0.9, 0.1)","(0.0, 0.0, 0.0)","","","","","","instructions_finished"
"1659741078326","Reseting all buttons.","05-Task3Scene","False","(-3.5, -0.2, -2.4)","(0.6, -0.7, 0.2)","(-3.4, -0.2, -2.4)","Quad","null","null","null","null","(-3.5, -0.2, -2.4)","(0.6, -0.7, 0.2)","(-3.4, -0.2, -2.4)","Quad","","","","",""
"1659741097895","Button 2 pressed, playing animation 2.","05-Task3Scene","False","(-3.5, 0.1, -2.4)","(0.9, -0.2, 0.3)","(0.0, 0.0, 0.0)","","null","null","(-3.0, -0.1, -2.3)","(-3.0, -0.1, -2.4)","(-3.5, 0.1, -2.4)","(0.9, -0.2, 0.3)","(0.0, 0.0, 0.0)","","(-0.7, -0.2, -1.6)","(-3.0, 0.0, -2.2)","(-3.0, 0.0, -2.3)","(-2.9, 0.0, -2.4)","button2_pressed"
"1659741105955","Animation finished.","05-Task3Scene","False","(-3.6, 0.1, -2.7)","(0.9, 0.1, 0.4)","(0.0, 0.0, 0.0)","","null","null","null","null","(-3.6, 0.1, -2.7)","(0.9, 0.1, 0.4)","(0.0, 0.0, 0.0)","","(-1.7, -0.3, -2.0)","","","","animation_finished"
"1659741106946","Instantiating middle instructions.","05-Task3Scene","False","(-3.6, 0.1, -2.7)","(0.9, 0.0, 0.4)","(-3.5, 0.1, -2.6)","Quad","null","null","null","null","(-3.6, 0.1, -2.7)","(0.9, 0.0, 0.4)","(-3.5, 0.1, -2.6)","Quad","(-1.7, -0.4, -1.9)","","","",""
"1659741106956","Instantiating instructions.","05-Task3Scene","False","(-3.6, 0.1, -2.7)","(0.9, 0.0, 0.4)","(-3.5, 0.1, -2.6)","Quad","null","null","null","null","(-3.6, 0.1, -2.7)","(0.9, 0.0, 0.4)","(-3.5, 0.1, -2.6)","Quad","(-1.7, -0.4, -1.9)","","","","showing_instructions"
"1659741115120","Instructions finished.","05-Task3Scene","False","(-3.6, 0.1, -2.6)","(0.9, -0.1, 0.5)","(-2.7, 0.0, -2.1)","Header Text","null","null","null","null","(-3.6, 0.1, -2.6)","(0.9, -0.1, 0.5)","(-2.7, 0.0, -2.1)","Header Text","","","","","instructions_finished"
"1659741116165","Middle instructions finished, starting the timer.","05-Task3Scene","False","(-3.6, 0.1, -2.6)","(0.9, -0.1, 0.5)","(-3.5, 0.1, -2.5)","Quad","null","null","null","null","(-3.6, 0.1, -2.6)","(0.9, -0.1, 0.5)","(-3.5, 0.1, -2.5)","Quad","","","","",""
"1659741116178","Openning the timer.","05-Task3Scene","False","(-3.6, 0.1, -2.6)","(0.9, -0.1, 0.5)","(-3.5, 0.1, -2.5)","Quad","null","null","null","null","(-3.6, 0.1, -2.6)","(0.9, -0.1, 0.5)","(-3.5, 0.1, -2.5)","Quad","","","","","openning_timer"
"1659741126200","User failed to press the button on time, instantaiting failed instructions.","05-Task3Scene","False","(-3.6, 0.1, -2.6)","(0.9, -0.3, 0.4)","(0.0, 0.0, 0.0)","","(-3.5, -0.1, -2.6)","(-3.5, -0.1, -2.5)","null","null","(-3.6, 0.1, -2.6)","(0.9, -0.3, 0.4)","(0.0, 0.0, 0.0)","","(-1.2, -1.0, -1.2)","(-3.2, -0.2, -2.2)","(-3.1, -0.2, -2.3)","(-3.1, -0.2, -2.4)","user_failed"
"1659741126200","Closing the timer.","05-Task3Scene","False","(-3.6, 0.1, -2.6)","(0.9, -0.3, 0.4)","(0.0, 0.0, 0.0)","","(-3.5, -0.1, -2.6)","(-3.5, -0.1, -2.5)","null","null","(-3.6, 0.1, -2.6)","(0.9, -0.3, 0.4)","(0.0, 0.0, 0.0)","","(-1.2, -1.0, -1.2)","(-3.2, -0.2, -2.2)","(-3.1, -0.2, -2.3)","(-3.1, -0.2, -2.4)","closing_timer"
"1659741127186","Instantiating instructions.","05-Task3Scene","False","(-3.6, 0.1, -2.6)","(0.9, -0.3, 0.4)","(-3.5, 0.1, -2.6)","Quad","null","null","null","null","(-3.6, 0.1, -2.6)","(0.9, -0.3, 0.4)","(-3.5, 0.1, -2.6)","Quad","(-1.1, -0.9, -1.3)","","","","showing_instructions"
"1659741135286","Instructions finished.","05-Task3Scene","False","(-3.6, 0.1, -2.6)","(0.9, -0.2, 0.4)","(-2.7, -0.1, -2.2)","Header Text","null","null","null","null","(-3.6, 0.1, -2.6)","(0.9, -0.2, 0.4)","(-2.7, -0.1, -2.2)","Header Text","","","","","instructions_finished"
