user id: 000004,start time: 1658529575358,application version: 0.1
timestamp,is eye tracking valid and enabled,eye gaze origin,eye gaze direction,eye gaze hit position,eye gaze target name,left hand index position,left hand palm position,right hand index position,right hand palm position,head gaze origin,head gaze direction,head gaze hit position,head gaze target name,3d model position,button 1 position,button 2 position,button 3 position
"1658529575378","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, 0.0, 0.0)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, 0.0, 0.0)","Quad","","","",""
"1658529575388","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575397","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575410","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575428","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575438","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575458","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575478","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575488","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575510","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575527","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575538","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575588","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575628","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575638","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575658","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575678","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575688","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575711","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575728","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575738","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575758","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575778","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575788","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575812","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575828","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575838","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575858","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575878","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575888","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575912","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575928","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575938","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575958","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575978","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529575988","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529576009","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529576028","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529576048","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529576058","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529576078","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529576089","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529576108","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529576117","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529576138","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529576158","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529576177","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529576188","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529576208","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529576227","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
"1658529576238","False","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.4, 0.9)","(0.0, -0.1, 0.1)","Quad","","","",""
