user id: Y14092,start time: 1659562323668,application version: 0.1
timestamp,is eye tracking valid and enabled,eye gaze origin,eye gaze direction,eye gaze hit position,eye gaze target name,left hand index position,left hand palm position,right hand index position,right hand palm position,head gaze origin,head gaze direction,head gaze hit position,head gaze target name,3d model position,button 1 position,button 2 position,button 3 position
"1659562323681","False","(0.0, 0.0, 0.0)","(-0.1, -0.5, 0.9)","(0.0, 0.0, 0.0)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.1, -0.5, 0.9)","(0.0, 0.0, 0.0)","Quad","","","",""
"1659562323698","False","(0.0, 0.0, 0.0)","(-0.1, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.1, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1659562323748","False","(0.0, 0.0, 0.0)","(-0.1, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.1, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1659562323768","False","(0.0, 0.0, 0.0)","(-0.1, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.1, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1659562323808","False","(0.0, 0.0, 0.0)","(-0.1, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.1, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1659562323849","False","(0.0, 0.0, 0.0)","(-0.1, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.1, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1659562323858","False","(0.0, 0.0, 0.0)","(-0.1, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.1, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1659562323898","False","(0.0, 0.0, 0.0)","(-0.1, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.1, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1659562323936","False","(0.0, 0.0, 0.0)","(-0.1, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.1, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1659562323969","False","(0.0, 0.0, 0.0)","(0.0, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1659562324000","False","(0.0, 0.0, 0.0)","(0.0, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1659562324052","False","(0.0, 0.0, 0.0)","(0.0, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1659562324071","False","(0.0, 0.0, 0.0)","(0.0, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1659562324098","False","(0.0, 0.0, 0.0)","(0.0, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1659562324129","False","(0.0, 0.0, 0.0)","(0.0, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1659562324168","False","(0.0, 0.0, 0.0)","(0.0, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
"1659562324198","False","(0.0, 0.0, 0.0)","(0.0, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, -0.5, 0.9)","(0.0, 0.0, 0.1)","Quad","","","",""
